linear_search_opt,1/10, Time/s, 0.000288, 20
linear_search_opt,1/10, Gates/1e6, 0.000148, 20
linear_search_opt,1/10, Bytes/MB, 0.004766, 20
linear_search_opt,1/20, Time/s, 0.000435, 20
linear_search_opt,1/20, Gates/1e6, 0.000235, 20
linear_search_opt,1/20, Bytes/MB, 0.007546, 20
linear_search_opt,1/30, Time/s, 0.000951, 20
linear_search_opt,1/30, Gates/1e6, 0.000461, 20
linear_search_opt,1/30, Bytes/MB, 0.014795, 20
linear_search_opt,1/40, Time/s, 0.000908, 20
linear_search_opt,1/40, Gates/1e6, 0.000620, 20
linear_search_opt,1/40, Bytes/MB, 0.019860, 20
linear_search_opt,1/50, Time/s, 0.000732, 20
linear_search_opt,1/50, Gates/1e6, 0.000491, 20
linear_search_opt,1/50, Bytes/MB, 0.015739, 20
linear_search_opt,1/60, Time/s, 0.001072, 20
linear_search_opt,1/60, Gates/1e6, 0.000716, 20
linear_search_opt,1/60, Bytes/MB, 0.022938, 20
linear_search_opt,1/70, Time/s, 0.001466, 20
linear_search_opt,1/70, Gates/1e6, 0.001040, 20
linear_search_opt,1/70, Bytes/MB, 0.033315, 20
linear_search_opt,1/80, Time/s, 0.001864, 20
linear_search_opt,1/80, Gates/1e6, 0.001300, 20
linear_search_opt,1/80, Bytes/MB, 0.041656, 20
linear_search_opt,1/90, Time/s, 0.001625, 20
linear_search_opt,1/90, Gates/1e6, 0.001119, 20
linear_search_opt,1/90, Bytes/MB, 0.035847, 20
linear_search_opt,1/100, Time/s, 0.001872, 20
linear_search_opt,1/100, Gates/1e6, 0.001303, 20
linear_search_opt,1/100, Bytes/MB, 0.041755, 20
